sample_no,drying_treatment,date,cc_treatment,pre_post_wet,median,iqr,day_elapsed
96,one_wk,2022-02-23,w_cc,post,79064.61368620735,11784.274156648607,1
96,one_wk,2022-02-24,w_cc,post,125560.17559415915,15690.74320958626,2
98,initial_dry,2022-02-15,no_cc,post_co2,3452.0122826267207,483.6271121154964,NA
98,initial_dry,2022-02-16,no_cc,post_co2,2528.30899261089,1406.7285438008694,NA
98,initial_dry,2022-02-17,no_cc,post_co2,2020.6067961517665,391.77732999220643,NA
98,initial_dry,2022-02-18,no_cc,post_co2,2725.6964816505924,401.3393513577412,NA
98,initial_dry,2022-02-19,no_cc,post_co2,2330.283057885743,156.80385988204125,NA
98,two_wk,2022-03-08,no_cc,post_co2,523.0192712252882,84.1400221415214,0
98,two_wk,2022-03-09,no_cc,post_co2,3142.066667786398,280.1405352232514,1
98,two_wk,2022-03-10,no_cc,post_co2,2354.7419709700916,314.9738657456187,2
98,two_wk,2022-03-11,no_cc,post_co2,1971.5123185907423,425.28211983919687,3
98,two_wk,2022-03-12,no_cc,post_co2,2130.9948436986483,742.3960775402313,4
99,two_wk,2022-03-02,no_cc,post,5151.119420841267,2308.0238853707815,NA
99,two_wk,2022-03-03,no_cc,post,2657.1778771383724,455.8423497550989,NA
102,one_wk,2022-02-22,no_cc,post_co2,921.632610437618,156.60663875796786,0
102,one_wk,2022-02-23,no_cc,post_co2,5125.169697551162,1673.0445711856937,1
102,one_wk,2022-02-24,no_cc,post_co2,3387.3453154581516,653.3084919316461,2
102,one_wk,2022-02-25,no_cc,post_co2,2678.7289603492627,143.47654615234387,3
102,one_wk,2022-02-26,no_cc,post_co2,2340.3459469225713,744.0328524499673,4
103,one_wk,2022-02-23,w_cc,post,53129.013928909,28909.558905484446,1
103,one_wk,2022-02-24,w_cc,post,90932.27883282691,70637.44752581994,2
105,one_wk,2022-02-22,no_cc,post_co2,1084.899448639526,162.55105576899678,0
105,one_wk,2022-02-23,no_cc,post_co2,4200.335456712267,388.25438099350185,1
105,one_wk,2022-02-24,no_cc,post_co2,3011.083168763541,597.7246275025104,2
105,one_wk,2022-02-25,no_cc,post_co2,2278.201559238702,602.4382437044769,3
105,one_wk,2022-02-26,no_cc,post_co2,2956.4712687983692,1312.8313227817598,4
108,four_wk,2022-03-16,w_cc,post,54116.21397989928,21610.4364648637,1
108,four_wk,2022-03-17,w_cc,post,18030.125739561532,6674.1602458493835,2
109,one_wk,2022-02-23,w_cc,post,85886.5926937866,59290.64812274389,1
109,one_wk,2022-02-24,w_cc,post,154090.30906000032,24205.02567955409,2
110,initial_dry,2022-02-15,w_cc,post_co2,415521.4171159755,64734.93251920224,NA
110,initial_dry,2022-02-16,w_cc,post_co2,225922.2798621538,134504.92430848797,NA
110,initial_dry,2022-02-17,w_cc,post_co2,242069.76843204894,68541.28627203929,NA
110,initial_dry,2022-02-18,w_cc,post_co2,1223013.9017012308,258530.36356776464,NA
110,initial_dry,2022-02-19,w_cc,post_co2,426114.1324321977,196731.50120284274,NA
