sample,date,total_auc
094_02,2022-03-02,2921.8960150000003
094_03,2022-03-02,2653.930645
094_04,2022-03-02,3347.27471
094_05,2022-03-02,3219.236
094_06,2022-03-02,2793.49964
099_01,2022-03-02,300.8478
099_02,2022-03-02,175.201685
099_03,2022-03-02,187.54037500000004
099_04,2022-03-02,342.8362
099_05,2022-03-02,271.6475
100000ppm_01,2022-03-02,5808.223
100000ppm_02,2022-03-02,6481.74305
100000ppm_03,2022-03-02,5412.2565
100000ppm_04,2022-03-02,7583.889055
100000ppm_05,2022-03-02,4516.77998
100000ppm_06,2022-03-02,6902.6875
10000ppm_01,2022-03-02,470.14352
10000ppm_02,2022-03-02,573.99616
10000ppm_03,2022-03-02,476.5575
10000ppm_04,2022-03-02,520.5315
10000ppm_05,2022-03-02,764.3905
1000ppm_01,2022-03-02,51.83767
1000ppm_02,2022-03-02,58.977534999999996
1000ppm_03,2022-03-02,40.170685000000006
1000ppm_04,2022-03-02,44.25076000000001
1000ppm_05,2022-03-02,51.06833
1000ppm_06,2022-03-02,19.77675
100ppm_01,2022-03-02,9.01854
100ppm_02,2022-03-02,8.702465
100ppm_03,2022-03-02,7.689125
100ppm_04,2022-03-02,11.574005
100ppm_05,2022-03-02,6.108165
114_01,2022-03-02,3716.9715599999995
114_02,2022-03-02,2809.93139
114_03,2022-03-02,2000.159975
114_04,2022-03-02,1870.9809999999998
114_05,2022-03-02,3697.60923
116_01,2022-03-02,251.673075
116_02,2022-03-02,235.7844
116_03,2022-03-02,229.53360500000002
116_04,2022-03-02,217.50400000000002
116_05,2022-03-02,329.31515
122_01,2022-03-02,210.0793
122_02,2022-03-02,258.83285
122_03,2022-03-02,254.09198
122_04,2022-03-02,217.27658000000002
122_05,2022-03-02,225.813
132_01,2022-03-02,3026.741
132_02,2022-03-02,3348.53571
132_03,2022-03-02,3432.1834299999996
132_04,2022-03-02,3514.300435
132_05,2022-03-02,2924.6958
99per_01,2022-03-02,5305.923899999999
99per_02,2022-03-02,60559.672674999994
99per_03,2022-03-02,6768.509050000001
99per_04,2022-03-02,25852.127495
99per_05,2022-03-02,165313.64026
99per_06_slow,2022-03-02,26833.986474999998
99per_07_slow,2022-03-02,15156.055839999999
99per_08_slow,2022-03-02,23756.447709999997
99per_09_slow,2022-03-02,27274.416780000003
99per_10_slow,2022-03-02,22483.617455
99per_11_slow,2022-03-02,26709.551059999998
99per_12_slow,2022-03-02,25767.946345000004
99per_13_slow,2022-03-02,228989.449095
99per_14_slow,2022-03-02,71861.92380500001
99per_15_slow,2022-03-02,28855.550835000002
99per_16_slow,2022-03-02,48452.804885000005
99per_17_slow,2022-03-02,51111.59684
022_01,2022-03-03,5831.3499999999995
022_02,2022-03-03,5648.75193
022_03,2022-03-03,2663.3278
022_04,2022-03-03,2690.8238899999997
022_05,2022-03-03,2613.7896
022_06,2022-03-03,3889.1793500000003
043_01,2022-03-03,278.5358
043_02,2022-03-03,234.76945
043_03,2022-03-03,153.17055000000002
043_04,2022-03-03,223.14309999999998
043_05,2022-03-03,163.6327
047_01,2022-03-03,1748.369755
047_02,2022-03-03,3177.3479949999996
047_03,2022-03-03,3076.84035
047_04,2022-03-03,889.52969
047_05,2022-03-03,3146.83
047_06,2022-03-03,2830.6375300000004
047_07,2022-03-03,3463.4105449999997
085_01,2022-03-03,163.4418
085_02,2022-03-03,107.8516
085_03,2022-03-03,127.1083
085_04,2022-03-03,153.74630000000002
